Approved/Rejected,Campus,Date,Percentage_of_Increase,Price_Difference,Quantity_Removed,Quantity_Removed2,Removed_Spend,Spend,Supplier,Validity_Percent
Approved,UC Berkeley,7/17/2014,0.00%,$0.00 ,0,0,$0.00 ,"$93,919.25 ",Promega,98.74%
Approved,UCSF,7/17/2014,0.00%,$0.00 ,0,0,$0.00 ,"$461,323.50 ",Promega,96.74%
Approved,UCSF,7/17/2014,-0.15%,"($2,852.10)",0,0,$0.00 ,"$2,064,328.88 ",Sigma Aldrich,89.06%
Approved,UC Berkeley,7/17/2014,0.01%,$160.74 ,0,0,$0.00 ,"$1,317,090.62 ",Sigma Aldrich,92.11%
Approved,UCSF,7/17/2014,0.00%,$0.00 ,0,0,$0.00 ,"$21,463.40 ",Anaspec,91.59%
Approved,UCB,7/17/2014,-0.48%,($783.58),0,0,$0.00 ,"$163,967.19 ",Santa Cruz,97.28%
Approved,UCSF,7/17/2014,-0.07%,($311.18),0,0,$0.00 ,"$448,071.25 ",Santa Cruz,97.47%
Approved,UCSF,7/17/2014,-0.07%,($311.16),0,0,$0.00 ,"$448,071.25 ",E&K Scientific,98.26%
Approved,UCB,7/17/2014,-0.48%,($783.58),0,0,$0.00 ,"$163,967.19 ",E&K Scientific,98.59%
Rejected,UCSF,7/29/2014,6.79%,,0,0,$0.00 ,,Bioneer,
Rejected,UCB,7/29/2014,6.79%,,0,0,$0.00 ,,Bioneer,
Approved,UCB,8/6/2014,-0.07%,($153.76),1,1,$0.00 ,"$208,940.26 ",Stanley Stockroom,99.92%
Pending,UCSF,8/6/2014,3.15%,"$3,559.42 ",128,0,"$10,893.37 ","$136,439.88 ",Henry Schein,79.07%
Approved,UCB,8/20/2014,0.00%,$0.00 ,0,0,$0.00 ,"$106,937.24 ",E&K Scientific,92.96%
Approved,UCB,8/21/2014,16.22%,"$4,949.25 ",1,0,$132.88 ,"$67,251.82 ",Beckman,45.37%
Approved,UCB,8/21/2014,15.37%,"$9,571.27 ",1,0,$132.88 ,"$256,589.11 ",Beckman,20.03%
Approved,UCSF,10/3/2014,0.00%,$0.00 ,2,2,$0.00 ,"$362,702.56 ",USA Scientific,73.15%
Approved,UCB,10/3/2014,0.00%,$0.00 ,0,0,$0.00 ,"$99,608.31 ",Promega,97.24%
Approved,UCB,10/3/2014,1.09%,"$13,217.31 ",94,0,"$15,366.70 ","$1,331,067.38 ",Sigma,90.10%
Approved,UCSF,10/9/2014,1.24%,"$24,686.60 ",128,0,"$24,809.28 ","$2,127,448.50 ",Sigma,87.70%
Approved,UCB,10/14/2014,0.00%,$0.00 ,0,0,$0.00 ,"$134,363.48 ",USA Scientific,77.99%
,UCSF,11/7/2014,0.00%,$0.00 ,128,121,$387.22 ,"$202,087.97 ",Henry Schein,66.11%
,UCSF,11/7/2014,0.00%,$0.00 ,0,0,$0.00 ,"$448,145.12 ",Promega,96.63%
,UCSF,11/10/2014,2.87%,$25744.08,0,0,$0.00,$896395.90,SCM_DMM,99.96%
Approved,UCSF,11/10/2014,0.00%,$0.00,0,0,$0.00,$441528.48,Promega,96.80%
